TimeStamp,Name,State
11051.925,Input2,0
11066.883,Input1,0
11160.633,Input1,1
11831.857,Input3,0
20511.747,Input3,1
20623.448,Input2,1
20623.448,Input4,0
20719.535,Input4,1
29271.553,Input2,0
29271.553,Input1,0
29383.290,Input1,1
30023.181,Input3,0
137172.949,Input3,1
137284.916,Input2,1
137284.916,Input4,0
137380.692,Input4,1
137412.575,Input3,0
137444.491,Input3,1
138467.605,Input3,0
138547.731,Input3,1
141968.017,Input2,0
141969.015,Input1,0
142080.716,Input1,1
142735.416,Input3,0
145548.982,Input3,1
145564.940,Input3,0
146491.865,Input3,1
146588.606,Input2,1
146588.606,Input4,0
146700.310,Input4,1
150744.660,Input2,0
150760.618,Input1,0
150856.361,Input1,1
151527.597,Input3,0
159488.732,Input3,1
159600.428,Input2,1
159601.406,Input4,0
159696.602,Input4,1
159744.473,Input3,0
159760.533,Input3,1
166202.168,Input2,0
166219.120,Input1,0
166314.929,Input1,1
166970.456,Input3,0
227657.377,Input3,1
227753.319,Input2,1
227753.319,Input4,0
227865.019,Input4,1
235267.183,Input2,0
235283.141,Input1,0
235378.248,Input1,1
236033.820,Input3,0
240621.970,Input3,1
240717.715,Input2,1
240733.672,Input4,0
240829.419,Input4,1
249557.589,Input2,0
249573.581,Input1,0
249670.290,Input1,1
250341.060,Input3,0
290033.803,Input3,1
290145.504,Input2,1
290145.504,Input4,0
290208.624,Input3,0
290240.783,Input3,1
290240.783,Input4,1
290944.287,Input3,0
290975.972,Input3,1
297962.256,Input2,0
297978.089,Input1,0
298074.105,Input1,1
298728.761,Input3,0
322131.970,Input3,1
322243.694,Input2,1
322243.694,Input4,0
322339.442,Input4,1
323649.994,Input3,0
323650.991,Input3,1
323650.991,Input3,0
323666.949,Input3,1
326703.540,Input2,0
326719.497,Input1,0
326815.272,Input1,1
327486.444,Input3,0
329069.900,Input3,1
329117.767,Input3,0
329133.725,Input3,1
329245.425,Input2,1
329245.425,Input4,0
329341.435,Input4,1
336870.339,Input2,0
336870.339,Input1,0
336982.043,Input1,1
337637.289,Input3,0
369081.220,Input3,1
369193.358,Input2,1
369194.334,Input4,0
369289.053,Input4,1
374595.800,Input2,0
374612.759,Input1,0
374708.499,Input1,1
375364.573,Input3,0
383452.598,Input3,1
383564.511,Input2,1
383564.511,Input4,0
383660.514,Input4,1
390997.638,Input2,0
391013.595,Input1,0
391109.475,Input1,1
391780.903,Input3,0
394168.783,Input3,1
394264.526,Input2,1
394264.526,Input4,0
394376.233,Input4,1
394840.107,Input3,0
394840.107,Input3,1
394856.080,Input3,0
394872.051,Input3,1
394872.051,Input3,0
394887.979,Input3,1
398580.445,Input2,0
398580.445,Input1,0
398692.421,Input1,1
399347.458,Input3,0
619725.552,Input3,1
619837.675,Input2,1
619837.675,Input4,0
619932.732,Input4,1
619948.685,Input3,0
619980.601,Input3,1
625223.935,Input3,0
625239.893,Input3,1
626898.655,Input2,0
626914.581,Input1,0
627010.325,Input1,1
627682.528,Input3,0
708376.359,Input3,1
708489.058,Input2,1
708489.058,Input4,0
708584.808,Input4,1
713060.276,Input2,0
713062.271,Input1,0
713171.977,Input1,1
713828.222,Input3,0
726648.302,Input3,1
726664.259,Input3,0
727223.858,Input3,1
727335.560,Input2,1
727335.560,Input4,0
727431.302,Input4,1
733378.204,Input2,0
733378.204,Input1,0
733489.907,Input1,1
734145.158,Input3,0
740379.333,Input3,1
740476.073,Input2,1
740476.073,Input4,0
740587.773,Input4,1
744887.713,Input2,0
744903.671,Input1,0
744999.434,Input1,1
745639.156,Input3,0
754399.526,Input3,1
754510.528,Input2,1
754511.525,Input4,0
754608.300,Input4,1
754958.777,Input3,0
754974.735,Input3,1
759323.997,Input2,0
759323.997,Input1,0
759434.691,Input1,1
760089.939,Input3,0
761544.539,Input3,1
761640.282,Input2,1
761656.241,Input4,0
761752.987,Input4,1
762008.074,Input3,0
762024.031,Input3,1
762025.028,Input3,0
762039.988,Input3,1
768242.310,Input2,0
768258.266,Input1,0
768355.008,Input1,1
769026.213,Input3,0
803506.027,Input3,1
803521.982,Input3,0
803554.896,Input3,1
803665.597,Input2,1
803666.596,Input4,0
803762.339,Input4,1
803794.254,Input3,0
803810.212,Input3,1
810060.188,Input2,0
810076.153,Input1,0
810172.037,Input1,1
810843.527,Input3,0
819067.644,Input3,1
819179.347,Input2,1
819180.344,Input4,0
819276.318,Input4,1
819787.378,Input3,0
819803.334,Input3,1
824455.218,Input3,0
824455.218,Input3,1
825477.893,Input2,0
825493.886,Input1,0
825589.594,Input1,1
826244.841,Input3,0
910280.393,Input3,1
910296.350,Input3,0
910312.308,Input3,1
910425.008,Input2,1
910425.008,Input4,0
910456.922,Input3,0
910488.835,Input3,1
910520.750,Input4,1
918545.962,Input2,0
918545.962,Input1,0
918661.681,Input1,1
919301.938,Input3,0
922147.175,Input3,1
922243.048,Input2,1
922243.048,Input4,0
922354.785,Input4,1
928317.566,Input2,0
928333.524,Input1,0
928429.269,Input1,1
929084.547,Input3,0
936677.922,Input3,1
936741.808,Input3,0
936757.766,Input3,1
936854.508,Input2,1
936870.464,Input4,0
936966.207,Input4,1
937333.226,Input3,0
937334.223,Input3,1
937350.181,Input3,0
937365.142,Input3,1
937366.139,Input3,0
937381.099,Input3,1
945806.645,Input2,0
945821.605,Input1,0
945918.345,Input1,1
946573.736,Input3,0
1024470.953,Input3,1
1024582.662,Input2,1
1024582.662,Input4,0
1024678.400,Input4,1
1031280.806,Input2,0
1031296.765,Input1,0
1031408.463,Input1,1
1032047.756,Input3,0
1044500.603,Input3,1
1044612.306,Input2,1
1044612.306,Input4,0
1044708.050,Input4,1
1052109.587,Input2,0
1052109.587,Input1,0
1052221.251,Input1,1
1052876.498,Input3,0
1064658.244,Input3,1
1064753.993,Input2,1
1064754.985,Input4,0
1064865.687,Input4,1
1072394.482,Input2,0
1072395.442,Input1,0
1072506.152,Input1,1
1073146.093,Input3,0
1082577.343,Input3,1
1082690.047,Input2,1
1082690.047,Input4,0
1082785.788,Input4,1
1091561.396,Input2,0
1091577.355,Input1,0
1091673.099,Input1,1
1092344.520,Input3,0
1173869.230,Input3,1
1173869.230,Input3,0
1173933.057,Input3,1
1174045.763,Input2,1
1174045.763,Input4,0
1174141.500,Input4,1
1174253.201,Input3,0
1174269.159,Input3,1
1174269.159,Input3,0
1174269.159,Input3,1
1177034.158,Input3,0
1177066.070,Input3,1
1178857.279,Input2,0
1178873.237,Input1,0
1178968.981,Input1,1
1179624.232,Input3,0
1181478.272,Input3,1
1181494.228,Input3,0
1181542.100,Input3,1
1181654.798,Input2,1
1181654.798,Input4,0
1181654.798,Input3,0
1181686.715,Input3,1
1181750.564,Input4,1
1182102.194,Input3,0
1182118.120,Input3,1
1188527.900,Input2,0
1188543.857,Input1,0
1188640.603,Input1,1
1189279.888,Input3,0
1204871.373,Input2,1
1204871.373,Input3,1
